answer_id,department,orig_is_multi,E-3,E-2,E-6,E-1,E-7,E-5
9f6d362a-f03e-11ef-9a4b-010101010000,외과,0,1,1,1,1,1,1
9f6d5d2f-f03e-11ef-8023-010101010000,외과,1,1,1,1,1,1,1
9f6dd25b-f03e-11ef-b23c-010101010000,외과,0,1,1,1,1,1,1
9f6df98a-f03e-11ef-ae5b-010101010000,외과,0,8,25,28,29,17,25
9f6ebcda-f03e-11ef-b4df-010101010000,외과,1,1,1,1,1,1,1
9f6ebcdb-f03e-11ef-bbb3-010101010000,외과,0,8,1,5,5,4,6
9f6f591c-f03e-11ef-855d-010101010000,외과,1,16,42,8,46,6,11
9f701c4e-f03e-11ef-af75-010101010000,외과,0,2,1,1,1,1,1
9f754c71-f03e-11ef-8489-010101010000,치과,0,197,9,24,9,17,28
9f76850f-f03e-11ef-9699-010101010000,피부과,0,155,1,2,1,3,3
9f781340-f03e-11ef-a329-010101010000,외과,0,102,48,15,29,5,11
9f78af7e-f03e-11ef-8369-010101010000,피부과,1,63,17,17,23,31,21
9f7b6ea2-f03e-11ef-96bb-010101010000,외과,1,10,14,21,14,11,21
9f7d1c4b-f03e-11ef-adb8-010101010000,외과,0,4,20,2,31,2,2
9f822558-f03e-11ef-8c49-010101010000,외과,0,7,14,8,6,9,6
9f838502-f03e-11ef-9c6a-010101010000,피부과,1,1,1,1,1,1,1
9f8532f5-f03e-11ef-87f8-010101010000,외과,1,2,27,1,4,1,1
9f892ed4-f03e-11ef-886a-010101010000,피부과,0,1,2,1,1,2,1
9f897cf3-f03e-11ef-8194-010101010000,외과,1,9,27,3,2,11,2
9f89f222-f03e-11ef-beb1-010101010000,외과,0,121,1,1,1,1,1
9f8a8e44-f03e-11ef-95cf-010101010000,외과,0,68,95,4,54,2,2
9f9081cd-f03e-11ef-b61d-010101010000,외과,0,1,2,13,7,2,12
9f9319df-f03e-11ef-9804-010101010000,외과,1,1,1,1,1,1,1
9f947996-f03e-11ef-ba23-010101010000,내과,0,27,1,1,1,1,1
9f94a0b2-f03e-11ef-8fdb-010101010000,외과,0,14,2,1,1,1,1
9f94eec6-f03e-11ef-9099-010101010000,외과,1,1,1,1,1,1,1
