answer_id,department,orig_is_multi,E-6,E-8,E-2
9f3226bb-f03e-11ef-a1ff-010101010000,안과,1,9,48,52
9f32c2dc-f03e-11ef-bdfe-010101010000,외과,0,2,2,2
9f36ba86-f03e-11ef-b72b-010101010000,안과,1,5,13,4
9f37f317-f03e-11ef-b206-010101010000,외과,0,26,18,99
9f38b691-f03e-11ef-85d6-010101010000,피부과,0,14,32,32
9f3979b6-f03e-11ef-a879-010101010000,외과,1,2,2,2
9f39a0cc-f03e-11ef-a4d7-010101010000,외과,1,1,2,1
9f3f0bfb-f03e-11ef-8937-010101010000,외과,1,2,17,5
9f3fa83b-f03e-11ef-b892-010101010000,안과,1,1,1,1
9f401d6f-f03e-11ef-a425-010101010000,내과,0,1,1,1
9f412ede-f03e-11ef-8fc0-010101010000,외과,0,1,5,3
9f45c2be-f03e-11ef-a6ca-010101010000,내과,0,4,4,1
9f48a918-f03e-11ef-809b-010101010000,피부과,0,1,1,1
9f491e54-f03e-11ef-9cc7-010101010000,피부과,1,2,2,6
9f496c6a-f03e-11ef-8a47-010101010000,피부과,0,1,1,6
9f49ba86-f03e-11ef-9cdb-010101010000,피부과,1,6,29,3
9f4a91b2-f03e-11ef-8ec3-010101010000,피부과,0,17,32,17
9f4ba31d-f03e-11ef-9534-010101010000,외과,0,2,2,3
9f4cb490-f03e-11ef-8398-010101010000,외과,0,2,1,1
9f519690-f03e-11ef-b492-010101010000,안과,0,9,11,19
9f51bdbc-f03e-11ef-a870-010101010000,외과,1,98,175,106
9f528105-f03e-11ef-82c2-010101010000,외과,0,1,1,6
9f5455ce-f03e-11ef-9a13-010101010000,외과,1,1,2,1
9f547cda-f03e-11ef-bcdb-010101010000,피부과,0,1,1,1
9f547cdc-f03e-11ef-ab33-010101010000,치과,1,18,38,2
9f56eddf-f03e-11ef-95e5-010101010000,외과,0,1,7,5
9f571538-f03e-11ef-a603-010101010000,외과,0,12,15,4
9f594baf-f03e-11ef-8126-010101010000,외과,0,44,54,27
9f5b20b5-f03e-11ef-9869-010101010000,외과,1,5,12,13
9f5b47c3-f03e-11ef-b3d0-010101010000,외과,1,1,1,1
9f6050df-f03e-11ef-98a9-010101010000,외과,1,1,1,1
9f6532bf-f03e-11ef-ae8c-010101010000,외과,0,2,5,28
9f67f225-f03e-11ef-9b8e-010101010000,외과,0,2,4,6
9f69659c-f03e-11ef-a914-010101010000,외과,1,498,730,179
9f6ac53d-f03e-11ef-95f0-010101010000,외과,1,464,772,857
9f6bfd9e-f03e-11ef-9960-010101010000,외과,1,22,38,36
9f6c24ae-f03e-11ef-bc91-010101010000,외과,0,1,1,5
9f6ce81d-f03e-11ef-b13c-010101010000,외과,0,1,1,1
9f6d362a-f03e-11ef-9a4b-010101010000,외과,0,1,1,1
9f6d5d2f-f03e-11ef-8023-010101010000,외과,1,1,1,1
9f6dd25b-f03e-11ef-b23c-010101010000,외과,0,1,1,1
9f6df98a-f03e-11ef-ae5b-010101010000,외과,0,28,23,25
9f6ebcda-f03e-11ef-b4df-010101010000,외과,1,1,1,1
9f6ebcdb-f03e-11ef-bbb3-010101010000,외과,0,5,6,1
9f6f591c-f03e-11ef-855d-010101010000,외과,1,8,23,42
9f701c4e-f03e-11ef-af75-010101010000,외과,0,1,1,1
9f754c71-f03e-11ef-8489-010101010000,치과,0,24,36,9
9f76850f-f03e-11ef-9699-010101010000,피부과,0,2,1,1
9f781340-f03e-11ef-a329-010101010000,외과,0,15,23,48
9f78af7e-f03e-11ef-8369-010101010000,피부과,1,17,57,17
9f7b6ea2-f03e-11ef-96bb-010101010000,외과,1,21,17,14
9f7d1c4b-f03e-11ef-adb8-010101010000,외과,0,2,3,20
9f822558-f03e-11ef-8c49-010101010000,외과,0,8,11,14
9f838502-f03e-11ef-9c6a-010101010000,피부과,1,1,1,1
9f8532f5-f03e-11ef-87f8-010101010000,외과,1,1,1,27
9f892ed4-f03e-11ef-886a-010101010000,피부과,0,1,1,2
9f897cf3-f03e-11ef-8194-010101010000,외과,1,3,12,27
9f89f222-f03e-11ef-beb1-010101010000,외과,0,1,1,1
9f8a8e44-f03e-11ef-95cf-010101010000,외과,0,4,2,95
9f9081cd-f03e-11ef-b61d-010101010000,외과,0,13,16,2
9f9319df-f03e-11ef-9804-010101010000,외과,1,1,1,1
9f947996-f03e-11ef-ba23-010101010000,내과,0,1,1,1
9f94a0b2-f03e-11ef-8fdb-010101010000,외과,0,1,1,2
9f94eec6-f03e-11ef-9099-010101010000,외과,1,1,1,1
9f964e77-f03e-11ef-a17b-010101010000,외과,1,61,182,367
9f969ec5-f03e-11ef-8ed4-010101010000,내과,0,2,3,49
9f96c5d0-f03e-11ef-be37-010101010000,내과,0,1,1,1
9f9761fc-f03e-11ef-b0c9-010101010000,내과,0,1,1,2
9f978910-f03e-11ef-9f59-010101010000,피부과,0,1,3,2
9f97b019-f03e-11ef-b5e8-010101010000,내과,0,1,1,1
9f984c5c-f03e-11ef-8dec-010101010000,외과,0,3,8,5
9f9a213c-f03e-11ef-9cec-010101010000,외과,0,1,1,2
9f9abd65-f03e-11ef-a5ef-010101010000,내과,1,1,1,2
9f9b0b8a-f03e-11ef-93fe-010101010000,외과,1,19,81,142
9f9bced2-f03e-11ef-834c-010101010000,외과,1,17,22,47
9f9d074d-f03e-11ef-9ed8-010101010000,내과,1,1,6,6
9f9dcaab-f03e-11ef-bafe-010101010000,내과,0,1,1,1
9f9e66ee-f03e-11ef-8197-010101010000,내과,0,1,1,1
9fa01c1a-f03e-11ef-86a7-010101010000,내과,0,1,1,1
9fa3c602-f03e-11ef-aacf-010101010000,외과,0,3,2,3
9fa3c604-f03e-11ef-93c3-010101010000,내과,0,1,1,1
9fa3ed1f-f03e-11ef-8a5a-010101010000,내과,1,2,2,8
9fa4140d-f03e-11ef-bc6e-010101010000,외과,0,1,2,1
9fa4fe84-f03e-11ef-a739-010101010000,피부과,1,1,1,4
9fa54c8d-f03e-11ef-b10f-010101010000,내과,0,1,1,1
9fa5c48f-f03e-11ef-8a8d-010101010000,내과,0,1,1,1
9fa7c05c-f03e-11ef-a746-010101010000,치과,1,36,111,3
9fa92001-f03e-11ef-b097-010101010000,외과,1,1,1,1
9faa316b-f03e-11ef-97e1-010101010000,내과,0,1,2,1
9faaf4b5-f03e-11ef-a059-010101010000,내과,1,181,483,286
9fac0621-f03e-11ef-8d48-010101010000,내과,0,12,30,30
9fac546b-f03e-11ef-bf9d-010101010000,외과,0,1,1,1
9fac7b51-f03e-11ef-9b0e-010101010000,내과,0,1,1,1
9faca25d-f03e-11ef-b97b-010101010000,내과,1,52,197,133
9facf0a8-f03e-11ef-ac3c-010101010000,내과,0,1,1,1
9fad43c4-f03e-11ef-947a-010101010000,내과,0,1,1,1
9fae7721-f03e-11ef-98e9-010101010000,내과,0,1,1,1
9fae9e30-f03e-11ef-9d93-010101010000,내과,1,1,1,1
9faf3a76-f03e-11ef-85e0-010101010000,내과,0,1,1,1
9faf8891-f03e-11ef-8c25-010101010000,외과,0,1,1,1
9fafd6a7-f03e-11ef-b446-010101010000,외과,0,1,1,1
9fb1ab73-f03e-11ef-8518-010101010000,내과,0,1,1,1
9fb30b25-f03e-11ef-9595-010101010000,외과,1,2,7,4
9fb41c93-f03e-11ef-8f6d-010101010000,내과,0,1,2,3
9fb46aab-f03e-11ef-b337-010101010000,외과,1,3,5,2
9fb6680d-f03e-11ef-8395-010101010000,외과,0,1,1,1
9fb6b62f-f03e-11ef-bced-010101010000,외과,1,2,16,1
9fb70454-f03e-11ef-9d45-010101010000,안과,0,1,1,1
9fb7c7c2-f03e-11ef-8178-010101010000,안과,0,4,15,22
9fb8d931-f03e-11ef-a247-010101010000,피부과,0,1,1,1
9fba11b1-f03e-11ef-b09a-010101010000,내과,0,1,1,1
9fbb7149-f03e-11ef-beab-010101010000,안과,1,1,1,1
9fbc0d82-f03e-11ef-ac22-010101010000,내과,0,1,1,1
9fbf1ad7-f03e-11ef-9b72-010101010000,내과,1,336,1355,467
9fbf41d3-f03e-11ef-a473-010101010000,내과,0,2,5,6
9fbf68e2-f03e-11ef-a346-010101010000,외과,0,1,1,1
9fbfb709-f03e-11ef-8eb0-010101010000,외과,1,2,7,3
9fc07a54-f03e-11ef-9206-010101010000,내과,1,2,3,1
9fc0a16d-f03e-11ef-b55b-010101010000,치과,0,1,1,1
9fc1d9e5-f03e-11ef-b5d2-010101010000,내과,0,1,2,1
9fc2c489-f03e-11ef-88ba-010101010000,내과,0,1,1,1
9fc312a8-f03e-11ef-9320-010101010000,내과,0,1,1,1
9fc3fd0c-f03e-11ef-9a07-010101010000,내과,0,1,1,1
